Win,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Def.Rank,Opp.First.Down.Runs,Opp.First.Down.Passes,Opp.First.Down.Penalties,Opp.First.Downs,X4rd.Down.Def.Rank,Opp.4th.Conversion,Opp.4th.Attempt,Opponent.4th.Percent,Interceptions.Thrown.x,Pass.Def.Rank,Opp.Completions.Allowed,Opp.Pass.Attempts,Opp.Pass.Yds.Allowed,Opp.Pass.TDs.Allowed,Yards.Attempt.Allowed,Yards.Completion.Allowed,Redzone.Def.Rank,Opp.Redzone.Attempts,Opp.Redzone.Rush.TD.Allowed,Opp.Redzone.Pass.Touchdowns.Allowed,Opp.Redzone.Field.Goals.Made,Opp.Redzone.Scores,Redzone.Points.Allowed,Rushing.Def.Rank,Opp.Rush.Attempts,Opp.Rush.Yards.Alloweed,Yds.Rush.Allowed,Opp.Rush.Touchdowns.Allowed,Rush.Yards.Per.Game.Allowed,Sack.Rank,Sacks,Sack.Yards,Average.Sacks.per.Game,Scoring.Def.Rank,Touchdowns.Allowed,Opponent.Extra.Points,X2.Point.Conversions.Allowed,Opp.Feild.Goals.Made,Opp.Safety,Points.Allowed,Avg.Points.per.Game.Allowed,Defensive.Points,Safety,Tackle.for.Loss.Rank,Solo.Tackle.For.Loss,Assist.Tackle.For.Loss,Tackle.for.Loss.Yards,Total.Tackle.For.Loss,Tackle.For.Loss.Per.Game,X3rd.Down.Def.Rank,Opp.3rd.Conversion,Opp.3rd.Attempt,Opponent.3rd.Percent,Turnover.Rank,Fumbles.Recovered,Opponents.Intercepted,Turnovers.Gain,,,,,,
12,81,1080,5848,5.41,38,39,417.7,113,120,160,17,297,82,13,23,0.565,8,107,356,567,3707,18,6.54,10.41,65,48,17,11,12,40,0.833,49,513,2141,4.17,20,152.9,59,27,159,1.93,34,39,36,1,17,0,323,23.1,0,0,9,94,27,413,108,7.7,48,85,225,0.378,5,12,20,32,,,,,,
9,57,908,5132,5.65,40,41,394.8,91,142,133,8,283,74,16,29,0.552,4,37,273,397,2807,23,7.07,10.28,27,45,14,16,5,35,0.778,79,511,2325,4.55,17,178.8,29,18,143,1.38,40,41,36,3,9,1,317,24.4,0,0,123,32,14,114,39,3,109,79,172,0.459,12,9,13,22,,,,,,
3,61,814,4793,5.89,45,48,399.4,26,102,122,15,239,102,5,8,0.625,15,47,227,383,2631,19,6.87,11.59,122,40,21,11,6,38,0.95,81,431,2162,5.02,26,180.2,110,36,213,3,83,48,43,2,9,0,362,30.2,0,0,22,63,42,277,84,7,74,66,162,0.407,61,9,12,21,,,,,,
9,40,926,4820,5.21,38,38,370.8,58,108,130,23,261,21,8,21,0.381,13,33,210,388,2790,17,7.19,13.29,107,44,19,7,13,39,0.886,53,538,2030,3.77,21,156.2,23,17,140,1.31,50,38,36,0,19,1,323,24.8,0,1,18,80,28,411,94,7.2,6,58,188,0.309,117,4,14,18,,,,,,
2,123,862,6594,7.65,66,71,549.5,103,161,120,9,290,75,10,18,0.556,13,91,218,338,3000,21,8.88,13.76,44,63,32,9,10,51,0.81,123,524,3594,6.86,45,299.5,70,25,167,2.08,120,71,64,2,13,0,535,44.6,0,0,117,33,28,145,47,3.9,103,71,157,0.452,97,10,10,20,,,,,,
7,64,993,5241,5.28,35,38,403.2,81,122,142,14,278,10,7,21,0.333,11,50,237,424,2869,16,6.77,12.11,77,45,16,9,13,38,0.844,82,569,2372,4.17,19,182.5,39,21,166,1.62,43,38,36,0,18,0,318,24.5,0,1,54,65,30,376,80,6.2,67,84,210,0.4,48,7,13,20,,,,,,
9,17,881,4528,5.14,25,30,348.3,15,85,122,24,231,5,4,13,0.308,14,61,267,455,2961,15,6.51,11.09,2,35,8,9,5,22,0.629,14,426,1567,3.68,10,120.5,7,11,53,0.85,8,30,28,0,7,1,231,17.8,0,0,58,62,32,330,78,6,34,70,193,0.363,15,16,18,34,,,,,,
12,78,1068,5808,5.44,41,43,414.9,118,120,173,15,308,46,14,30,0.467,8,105,280,517,3684,27,7.13,13.16,70,43,13,14,9,36,0.837,48,551,2124,3.85,14,151.7,5,11,65,0.79,52,43,37,1,18,0,351,25.1,0,0,101,59,26,301,72,5.1,56,87,225,0.387,10,11,19,30,,,,,,
5,88,930,5082,5.46,36,40,423.5,97,123,155,9,287,53,8,16,0.5,13,99,267,446,3074,20,6.89,11.51,91,44,13,12,13,38,0.864,68,484,2008,4.15,16,167.3,110,36,198,3,68,40,35,1,16,0,325,27.1,0,0,52,60,28,303,74,6.2,69,73,182,0.401,41,4,19,23,,,,,,
9,31,930,4760,5.12,32,34,366.2,83,130,127,23,280,8,6,19,0.316,13,15,240,408,2576,19,6.31,10.73,45,48,13,12,14,39,0.813,70,522,2184,4.18,13,168,2,8,63,0.62,27,34,31,1,18,0,291,22.4,0,0,107,58,12,270,64,4.9,87,80,191,0.419,61,4,13,17,,,,,,
7,67,918,5276,5.75,45,46,405.8,70,110,133,24,267,85,8,14,0.571,13,43,229,389,2833,24,7.28,12.37,9,43,15,9,7,31,0.721,85,529,2443,4.62,21,187.9,34,19,150,1.46,71,46,43,0,12,1,357,27.5,0,1,78,54,38,275,73,5.6,99,88,199,0.442,73,8,14,22,,,,,,
12,46,1000,5284,5.28,40,42,377.4,91,102,166,15,283,71,13,24,0.542,9,110,330,534,3752,31,7.03,11.37,33,43,7,22,5,34,0.791,9,466,1532,3.29,9,109.4,37,22,135,1.57,28,42,36,1,9,0,317,22.6,0,2,36,74,34,386,91,6.5,30,73,205,0.356,36,8,16,24,,,,,,
11,20,846,4552,5.38,34,36,350.2,19,92,118,23,233,16,5,14,0.357,11,30,225,409,2763,17,6.76,12.28,87,35,14,6,10,30,0.857,25,437,1789,4.09,17,137.6,12,15,109,1.15,22,36,32,0,13,0,287,22.1,1,2,78,57,32,303,73,5.6,18,60,178,0.337,21,8,16,24,,,,,,
10,52,1049,5004,4.77,27,33,384.9,97,115,143,29,287,53,15,30,0.5,13,79,290,541,3153,16,5.83,10.87,7,45,10,10,12,32,0.711,32,508,1851,3.64,11,142.4,9,14,80,1.08,19,33,30,1,17,0,281,21.6,0,0,16,84,22,336,95,7.3,7,72,229,0.314,4,12,21,33,,,,,,
8,38,917,4816,5.25,37,38,370.5,64,123,128,15,266,73,11,20,0.55,13,36,245,403,2802,10,6.95,11.44,85,47,25,6,9,40,0.851,51,514,2014,3.92,27,154.9,66,27,178,2.08,37,38,36,0,14,1,308,23.7,0,1,28,76,24,342,88,6.8,68,75,187,0.401,56,9,13,22,,,,,,
11,37,1042,4811,4.62,31,32,370.1,74,123,121,27,271,44,13,28,0.464,6,21,271,479,2659,14,5.55,9.81,40,46,13,12,12,37,0.804,66,563,2152,3.82,17,165.5,29,18,111,1.38,13,32,29,0,15,0,266,20.5,0,0,91,61,18,270,70,5.4,71,93,231,0.403,17,11,17,28,,,,,,
7,100,924,5676,6.14,48,51,436.6,93,123,144,17,284,69,9,17,0.529,16,84,265,439,3202,20,7.29,12.08,118,48,22,7,15,44,0.917,88,485,2474,5.1,28,190.3,57,25,212,1.92,90,51,43,1,19,0,408,31.4,0,1,71,56,38,275,75,5.8,73,74,183,0.404,42,10,19,29,,,,,,
7,48,864,4576,5.3,34,38,381.3,19,86,140,7,233,32,6,14,0.429,10,73,249,423,2848,18,6.73,11.44,73,38,12,10,9,32,0.842,36,441,1728,3.92,16,144,52,22,135,1.83,59,38,37,1,15,1,314,26.2,0,0,73,55,28,328,69,5.8,39,66,181,0.365,74,7,13,20,,,,,,
7,34,865,4778,5.52,39,43,367.5,30,105,119,19,243,19,7,19,0.368,9,44,225,386,2841,20,7.36,12.63,119,40,16,8,13,37,0.925,43,479,1937,4.04,19,149,118,43,361,3.31,69,43,41,0,18,0,353,27.2,0,0,34,77,18,340,86,6.6,52,70,183,0.383,68,8,8,16,,,,,,
1,104,886,5519,6.23,55,61,459.9,110,162,119,14,295,75,10,18,0.556,13,55,233,357,2694,27,7.55,11.56,120,56,23,21,8,52,0.929,114,529,2825,5.34,28,235.4,115,38,265,3.17,111,61,61,0,9,1,456,38,0,1,113,48,14,181,55,4.6,122,95,168,0.565,79,6,13,19,,,,,,
