Opponent 3rd Percent,Opp Pass TDs Allowed,Yards/Pass Attempt Allowed,Pass Yards Per Game Allowed,Opp Redzone Scores,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Average Sacks per Game,Opponents Intercepted,Def.Plays,Opp.Redzone.Scores,
0.288,20,6.64,178.2,29,3.2,8,107.3,2.17,7,872,35,
0.284,17,7.26,210,20,2.47,8,79.5,2,11,1053,44,
0.474,21,7.9,260.2,55,4.82,37,209.2,0.92,12,957,48,
0.34,21,6.78,224.4,33,4.35,15,150.8,1.5,16,788,35,
0.394,23,8.15,273.2,38,3.87,19,160.1,1.75,7,857,34,
0.333,10,6.4,170.8,27,4.22,16,140.6,3.62,10,964,40,
0.344,16,6.66,199.8,38,3.69,20,146.3,3.15,14,915,54,
0.395,18,6.75,220.1,35,3.97,18,141.6,1.85,15,912,39,
0.43,20,7.01,225.6,46,6.12,34,243.2,2.67,11,873,24,
0.331,17,7.07,197,32,3.56,13,133.2,2.08,15,987,40,
0.39,17,6.83,206.2,37,4.1,18,148.4,3.21,9,858,37,
0.235,12,6.22,201.5,23,2.89,10,93,2.77,18,833,33,
0.389,17,6.22,223.3,40,3.79,16,133.8,3.31,9,1080,40,
0.309,17,7.94,175.2,39,5,29,194.3,2.08,9,908,35,
0.414,24,6.99,241.3,35,3.53,17,122.1,2.85,16,814,38,
0.42,20,8.37,233.6,39,4.03,18,142.9,3,14,926,39,
0.401,17,6.93,237.2,37,3.91,17,135.9,2.92,11,862,51,
0.338,11,5.94,194.2,28,3.26,10,97.9,1.21,14,993,38,
0.435,26,7.93,237.9,37,4.29,14,178.6,1.5,2,881,22,
0.383,29,7.46,292.7,34,3.36,14,116.8,2.85,20,1068,36,
0.279,8,6.11,186.1,25,3.77,10,109,1.15,15,930,38,
0.335,15,6.46,210.3,36,3.9,20,134.2,2,14,930,39,
0.344,18,7.12,215.3,35,3.65,19,125.5,2.08,11,918,31,
0.357,25,8.62,250.1,31,3.01,7,88.9,1,8,1000,34,
0.328,15,6.38,226.2,31,3.36,13,100.7,2,19,846,30,
0.424,18,6.63,225.3,37,4.55,22,189.1,2.71,9,1049,32,
0.423,17,7.81,231.6,35,4.31,23,164.6,2.83,11,917,40,
0.341,15,7.6,202.8,27,4.11,19,157.4,3.58,9,1042,37,
0.373,14,6.46,186.8,36,3.92,21,149.5,1.23,7,924,44,
0.439,32,8.4,252.8,43,3.84,14,142.8,1,8,864,32,
0.418,27,7.88,271.3,43,4.51,29,165.2,2.86,9,865,37,
0.458,24,7.53,262.1,48,4.84,26,197.4,0.79,8,886,52,
0.418,17,7.05,183.4,39,4.62,24,191.3,1.75,6,957,40,
0.363,20,6.52,198,32,3.92,16,131.3,1.62,10,944,42,
0.392,29,7.84,286,46,4.29,19,140.9,1.79,12,887,44,
0.299,19,7.24,200.5,27,3.52,12,121.1,0.92,11,820,36,
0.409,20,7.13,273.5,50,4.48,29,187.5,2.38,17,833,37,
0.271,24,6.73,257.7,40,4.68,23,178,2.08,13,777,35,
0.412,17,8.19,244.2,35,4.18,19,198.3,2.92,12,942,27,
0.386,22,6.63,219.8,46,4.23,18,168,1.23,8,890,53,
0.468,24,7.14,256.4,40,4.18,17,124.8,0.38,16,989,32,
0.388,11,6.36,224.5,28,3.75,17,108.2,1.08,12,897,34,
0.332,12,5.8,212.3,31,3.31,14,111.2,1.62,14,886,36,
0.322,23,6.71,231.9,38,3.32,13,98,1.46,14,888,43,
0.349,28,7.59,224.9,38,4.19,19,142,2,15,827,36,
0.412,29,7.86,208.6,46,5.39,21,182.2,2.69,8,966,45,
0.341,15,6.51,206.8,39,3.99,23,142.9,2.17,9,973,42,
0.35,21,6.53,208.8,29,3.39,13,113.8,2.08,13,880,38,
0.394,15,7.44,217.7,28,3.24,15,122.2,3.5,14,1015,41,
0.381,25,7.41,227.5,44,4.95,30,203.6,1.62,10,870,46,
0.312,22,6.57,238.6,32,3.28,8,92.9,2,13,869,38,
0.434,24,6.65,206.7,45,4.93,23,198,2.38,15,931,36,
0.503,25,9.02,282,51,6.12,37,234.6,1.17,6,934,45,
0.429,25,8.04,264.1,46,4.98,29,159.8,2.14,19,829,54,
0.364,21,7.42,234,32,3.7,15,138.2,2.62,17,879,28,
0.342,22,7.17,209.7,35,6.08,25,224.4,3.42,6,990,39,
0.402,18,6.51,184.8,37,3.72,17,143.8,3.31,10,836,38,
0.365,25,7.28,249.3,49,4.27,29,158.9,1.93,16,887,43,
0.362,21,7.31,198.6,39,4.57,21,192.6,0.83,6,756,45,
0.342,21,7.08,289.5,39,3.28,15,115.8,2.08,11,909,40,
0.411,18,6.3,242.7,32,3.48,14,125.7,1.46,10,856,41,
0.356,15,5.73,156.2,32,4.82,13,208.8,2.08,4,810,23,
0.354,18,7.01,244.9,33,3.46,18,116.2,2.25,11,878,37,
0.386,23,7.85,256.8,43,4.25,18,168.8,3.15,10,1015,38,
0.335,17,5.97,183,34,3.83,25,143.2,2,12,1006,41,
0.395,14,5.98,206.9,32,3.41,15,119.9,3.29,13,920,50,
0.374,23,6.29,208.1,35,3.9,15,152.3,2.07,12,763,37,
0.367,21,7.33,206.3,42,4.91,20,207.9,3.75,6,865,43,
0.402,16,6.24,194.9,38,4.56,23,165.9,1.62,10,839,25,
0.381,15,6.85,222.3,41,4.52,24,157.7,2.57,6,859,31,
0.394,25,7.3,273,46,3.8,18,129.9,1.46,11,945,37,
0.428,15,6.92,210.8,41,4.39,24,169.7,1.38,13,1115,47,
0.427,17,8.07,232.7,47,4.85,29,195.1,2.92,6,964,35,
0.373,21,7.57,225.8,43,3.93,19,157.5,3.08,15,821,23,
0.315,20,7.55,222.6,38,3.96,18,111.4,1.07,12,975,35,
0.414,27,7.16,205,44,4.76,19,194.2,2.31,11,798,50,
0.348,23,8.17,216.5,35,4.05,13,136,2,5,914,40,
0.38,21,7.22,243.4,39,3.99,21,143.8,1.86,15,877,41,
0.397,29,8.74,290.5,38,5.16,25,170.8,1.25,6,941,33,
0.37,10,6.55,204.4,30,3.76,12,153.2,3.4,5,822,35,
0.341,13,6.92,235.2,34,3.9,15,135.2,3,4,1156,52,
0.413,29,7.51,269.7,41,3.83,14,136.8,2.92,7,746,37,
0.445,26,7.82,251.5,32,3.52,14,121.2,0.54,7,1032,42,
0.38,19,7.57,267.7,34,4.02,17,134.6,3.54,12,980,51,
0.407,22,8.17,262.7,36,4.14,24,149.6,1.67,4,849,38,
0.357,21,6.64,236.1,40,3.92,17,147.6,1,19,955,38,
0.316,15,7.25,212.1,36,3.94,18,140.1,3.5,11,841,20,
0.322,18,7.06,204.3,32,2.91,14,99.2,2.08,17,845,50,
0.382,19,6.52,217,40,4.27,17,153.5,1.46,6,985,45,
0.401,15,7.43,194.4,26,3.35,18,102.2,0.85,8,937,33,
0.542,26,8.77,220.1,48,6.2,32,248.9,5.25,6,887,45,
0.311,25,6.94,218.1,34,2.66,9,86,2.8,15,812,27,
0.342,18,7.03,222,34,3.66,18,125.7,1.21,15,887,42,
0.374,25,8.06,190.1,37,4.59,17,180.9,2.92,4,869,29,
0.372,13,6.63,194.8,39,3.62,18,131.2,2.15,16,1008,39,
0.335,16,7.18,214.2,27,4.02,17,153.5,2.31,13,905,31,
0.414,26,8.35,244.8,34,6.42,32,260.9,4,11,908,62,
0.404,15,8.07,211.2,29,3.82,19,117.2,0.54,10,911,42,
0.358,23,7.1,245.8,40,3.55,8,128.1,1.69,9,915,38,
0.401,17,7.96,243,40,4.34,22,176.4,2,15,734,34,
0.343,13,7.19,227.5,34,3.34,16,118.4,1.29,19,987,45,
0.379,12,7.69,206.9,30,3.95,14,157.5,2.25,13,890,43,
0.345,14,6.74,173.5,30,4.54,15,170.8,2.17,10,847,33,
0.413,15,7.28,186.2,45,4.16,30,187.8,3.25,12,972,53,
0.388,20,8.88,221.2,36,4.77,27,194.3,1.33,3,865,36,
0.43,14,7.34,231.9,42,4.32,24,156.3,1.15,15,879,31,
0.464,20,6.7,229.5,30,3.94,13,137.2,2.08,13,823,38,
0.298,22,8.04,263.3,35,3.33,18,118.5,2.08,5,888,41,
0.444,27,9.66,260.8,36,5.36,27,204.2,2.08,8,844,35,
0.338,13,5.74,169.2,29,3.58,14,149.1,1.86,19,898,33,
0.34,12,6.11,213.9,20,2.85,7,96.3,1.62,12,1028,41,
0.36,15,6.89,190.3,31,4.06,21,149.1,1.69,6,845,30,
0.431,17,7.22,242.3,32,4.97,22,178.6,2.67,9,845,25,
0.365,23,7.56,211.1,35,4.04,18,166.2,2.33,6,1056,39,
0.48,32,9.24,311.8,51,5.29,26,206.2,2.25,8,1040,50,
0.322,17,7.4,233.1,32,4.71,20,161.7,3,15,934,41,
0.436,19,7.87,237.8,35,5.06,27,197.7,3.23,8,959,22,
0.461,28,8.39,262.8,48,5.42,30,228.5,3.42,3,895,38,
0.318,19,7.2,252.2,35,4.46,17,157,2.92,13,864,48,
0.358,19,6.71,203.9,37,4.46,19,163.9,1.08,9,783,34,
0.404,25,7.05,233.2,24,3.63,15,144.6,3,14,807,26,
0.344,17,7.13,222,39,3.59,15,125.1,1.92,11,927,43,
0.379,28,8.62,289.5,38,4.35,17,152.3,2.33,5,882,36,
0.356,10,5.62,190.1,20,2.56,3,78.9,1.07,16,977,28,
0.444,20,7.77,261.8,32,3.51,20,141.4,1.77,11,1005,33,
0.452,28,9.78,273,45,4.45,19,182.2,2.75,3,901,41,
0.462,24,7.45,290,39,4.05,24,156.3,2.92,14,926,36,
0.257,18,6.58,194,25,3.39,13,107.2,2.79,14,929,36,
0.353,12,7.11,215.2,36,3.78,16,150.4,1.92,9,893,55,
0.365,24,7.35,235.7,50,4.13,23,148.9,2.42,5,991,48,
0.369,16,6.42,214.5,39,3.15,15,114.4,2.29,25,809,31,
0.388,19,7.01,188.2,24,3.55,11,122.5,1.62,11,997,43,
0.542,27,9.05,236.8,53,6.05,40,249.9,1.33,7,878,37,
0.399,15,7.42,215.2,38,3.67,14,129.5,1.85,11,938,42,
0.468,23,7.65,265.6,54,4.97,40,205.9,2.86,16,848,29,
0.386,20,7.05,218.6,34,3.94,12,121.5,1.92,9,1032,38,
0.339,14,6.62,180.3,29,3.5,19,139.9,4,9,968,32,
0.36,17,6.2,190.1,28,3.89,16,144.5,1.86,10,970,41,
0.382,25,7.8,267.8,47,4.52,25,166.5,2.33,9,915,25,
0.376,20,7.39,245.6,44,4.35,23,157.7,1.54,10,1168,50,
0.398,29,7.29,236.8,35,3.9,16,140.8,2.92,8,847,36,
0.372,18,6.37,205.3,32,4.19,18,188.7,1.46,10,849,32,
0.404,22,7.91,249.5,45,4.02,24,154.8,2,6,837,32,
0.518,24,9.76,249.6,52,5.8,43,235.4,2.17,2,894,45,
0.48,22,6.89,250.8,41,4.11,22,167.4,2.42,9,874,35,
0.397,21,6.9,250.6,37,3.89,16,139,2.5,8,901,42,
0.374,21,7.55,223.2,25,3.93,18,145.6,1.62,9,905,54,
0.346,17,6.29,204.4,27,3.65,11,126.4,1,8,927,38,
0.402,27,7.29,324.8,43,3.41,10,117.2,1.62,10,904,53,
0.365,23,6.26,236.5,36,3.95,17,136.4,2.08,17,849,39,
0.348,15,6.38,181.2,23,3.37,11,97.5,1.69,8,1001,40,
0.413,20,7.51,231.8,32,3.62,16,113,2.62,11,845,41,
0.434,25,8.17,206.8,51,5.31,32,227.4,1.38,11,873,27,
0.394,15,8.56,218.2,35,3.98,25,130.4,2.5,7,838,31,
0.293,19,6.03,207.6,26,3.81,9,124,2.08,15,953,27,
0.389,14,6.51,219.1,28,4.16,12,146.9,2.42,10,876,24,
0.387,19,6.58,220.5,39,4.69,23,186,3.46,14,892,32,
0.386,19,7.52,219.8,36,3.7,17,143.2,2.75,9,968,33,
0.409,32,9.46,291,44,5.54,26,197.5,3.33,10,992,37,
0.413,27,8.17,238,40,5.81,33,214.4,0.79,3,938,37,
0.417,27,8.04,238,43,4.64,23,180,3.77,11,986,52,
0.388,25,7.84,230.5,31,4.02,18,152.4,1.15,6,912,47,
0.428,11,7.24,216.5,43,5.33,31,213,2.33,6,854,50,
0.321,13,6.76,224.2,37,3.85,13,135.3,2.69,15,824,37,
0.437,17,7.37,237.8,52,4.85,25,193,1.83,6,841,43,
0.414,21,6.94,246.2,36,3.68,17,126.8,1.31,12,858,33,
0.379,26,7.65,261.8,40,3.79,15,129,2.54,11,869,30,
0.288,17,6.47,210.2,28,2.71,9,87.6,1.14,9,1002,38,
0.414,28,7.24,250,40,3.55,12,134.2,2.46,7,871,39,
0.385,14,6.76,230,42,4.51,25,190.6,2.62,11,957,33,
0.46,22,6.94,241.4,53,4.02,24,144.1,1.71,17,760,36,
0.503,22,7.35,243.5,44,4.14,19,143.8,1.08,15,848,34,
0.358,11,5.9,199.8,32,3.78,12,152.7,2.62,14,844,48,
0.335,26,7.31,264.3,36,2.65,15,89.3,2.43,16,825,32,
0.369,18,7.25,208.7,34,4.25,18,157.9,2.23,13,868,30,
0.39,23,8.69,273.8,50,4.8,30,161.8,2.33,14,849,36,
0.339,25,8.3,234.9,32,4.23,16,161.5,1.69,7,1068,43,
0.318,25,6.25,244.1,34,2.72,7,80.3,1.71,17,859,46,
0.4,23,6.94,236.1,39,3.49,9,133.9,1.75,6,957,35,
0.38,27,8.26,278.1,38,3.76,15,136.8,1.33,10,996,49,
0.34,13,7.23,208.4,31,3.98,21,146.2,2.42,15,882,34,
0.402,16,6.99,180.8,33,4.69,18,175,2.38,15,839,29,
0.396,26,8.32,263.3,43,5.8,28,207.2,2,10,888,34,
0.428,20,8.77,241.8,38,4.6,28,167.1,1.5,14,963,25,
0.377,16,7.77,202,26,4.37,15,156.5,3.67,11,871,28,
0.434,15,7.59,215.6,47,5.72,33,235.7,2.58,6,1024,54,
0.372,22,7.25,204.2,40,3.45,12,126.1,2.83,4,967,43,
0.469,20,9.34,239.8,46,5.79,34,222,2.33,10,839,46,
0.421,25,7,177.9,52,4.77,33,220.4,2.42,6,947,36,
0.421,23,7.26,273.2,46,3.71,24,148.5,3.38,13,742,40,
0.419,16,7.13,224,44,5.15,26,201.6,2.17,7,981,40,
0.328,13,5.77,192.7,22,3.65,6,134.8,1.58,10,920,49,
0.464,27,7.59,246.8,41,4.4,20,183.6,2.33,3,994,38,
0.447,29,7.7,268.2,44,4,18,136.8,1.92,10,750,22,
0.379,17,6.32,198.2,36,3.75,11,151.5,2.77,8,1084,45,
0.333,19,7.62,194.9,30,3.49,15,143,2.67,16,876,35,
0.4,28,8.06,271.2,46,3.93,25,158.4,2.67,10,918,34,
0.385,15,7.29,228.2,32,3.88,19,142.7,1.92,11,967,48,
0.346,24,7.01,217.3,35,3.23,16,111.5,2.69,10,841,32,
0.378,12,5.86,210.1,42,4.32,24,159.2,1.92,11,917,48,
0.436,15,7.02,260.2,40,3.76,24,124.2,1.92,12,968,35,
0.415,30,7.68,258,51,4.57,27,195.2,3.33,10,948,40,
0.41,30,8.07,289.3,37,4.2,21,153.5,3.25,11,956,34,
0.411,26,8.3,236.5,45,4.51,19,171.9,3.33,9,894,37,
0.374,22,6.85,222.3,37,3.65,11,119.4,0.93,10,888,45,
0.346,16,7.52,230.9,41,4.38,20,161.9,2.29,12,854,34,
0.326,16,6.75,210.8,41,3.9,22,138.6,1.46,8,877,29,
0.374,27,8.3,258,36,3.28,15,114.7,1.5,12,933,31,
0.357,29,8.09,264.2,48,5.53,22,193.4,2.33,13,936,29,
0.41,26,7.66,240.2,39,5.79,21,225.8,3.33,8,803,31,
0.353,20,7.43,224.2,35,4.58,20,169.2,2.31,10,835,23,
0.387,24,7.17,217.8,41,4.86,25,195.5,2.5,15,995,36,
0.357,6,5.43,143.3,35,4.75,21,193.6,1.92,10,759,35,
0.379,16,6.49,216.8,36,4.59,20,160.5,2.38,15,980,32,
0.347,17,7.47,211.5,35,3.98,15,138.5,2.92,9,839,57,
0.436,23,7.23,268.1,43,4.16,28,167.7,1.21,21,860,34,
0.268,23,7.55,186.4,35,4.43,17,143.1,2.23,4,1038,40,
0.287,9,6.51,174.3,24,2.12,10,64.8,1.31,16,962,29,
0.418,21,6.53,189.8,39,4.57,17,180.6,1.69,10,883,37,
0.466,7,7,166.8,9,3.77,4,136.5,0.33,5,967,60,
0.534,12,10,211.7,21,6.26,19,248.2,4.33,2,942,44,
0.406,14,6.82,243.5,23,3.17,11,107.6,1.45,11,864,35,
0.378,13,6.1,177.9,28,4.04,14,150.9,1.75,15,853,39,
0.429,6,8.3,202.4,25,5.91,19,270.6,3.6,2,979,48,
0.449,6,6.39,252.5,14,4.47,7,183.2,1.5,5,848,31,
0.468,18,6.78,259.6,36,4.62,21,192.1,3.4,13,924,42,
0.417,33,8.9,314,38,3.97,18,156.1,2.64,6,898,28,
0.354,13,6.49,149.9,16,3.94,5,121.2,0.82,13,806,31,
0.514,17,7.23,237.8,26,4.3,14,163.1,1.9,9,997,30,
0.391,13,8.22,295.9,22,3.94,12,145.9,3.57,6,906,49,
0.392,12,7.05,203,32,4.44,20,180.4,3.44,12,947,49,
0.271,10,6.92,209.6,27,4.02,13,163.7,2,3,960,37,
0.404,18,7.71,245.5,36,4.71,21,171.4,2.55,9,911,45,
0.514,12,7.46,165.6,24,6.33,16,310.2,2,0,863,43,
0.313,8,6.99,201.6,20,3.92,10,157.4,0.14,6,818,27,
0.392,15,6.34,197.5,19,3.43,8,119.9,1,8,895,35,
0.407,7,7.5,196.8,12,4.45,7,170.2,3.75,3,966,34,
0.449,15,9.43,297.2,19,3.13,7,130.5,2.33,8,917,40,
0.464,10,7.47,205.5,21,5.86,15,214,2.67,5,955,33,
0.357,6,5.48,192.3,21,3.32,9,122.1,1.22,15,838,31,
0.304,11,6.94,198.6,20,2.79,8,99.8,1.64,13,839,28,
0.374,11,6.62,202.8,24,4.19,13,137.9,1.09,14,828,26,
0.338,7,5.85,220,12,4.9,7,156.8,1.2,4,885,40,
0.403,5,8.2,250.2,16,2.47,8,108.5,3,1,923,42,
0.413,22,7.94,231.6,37,5.08,31,213.2,3.36,9,1110,46,
0.372,17,7.45,246,35,5.16,23,201.3,2.56,10,904,55,
0.373,14,8.11,251.5,20,5.23,12,238.7,2.83,3,1131,43,
0.405,6,6.69,187.2,20,5.19,11,235.6,3.8,2,915,29,
0.4,9,6.35,187.7,16,4.15,6,154.6,2.22,6,870,33,
0.409,25,7.62,258.3,34,3.94,13,146.5,1.73,9,861,36,
0.465,16,8.12,257.1,35,5.12,25,199.2,3.22,8,899,25,
0.485,8,7.42,217.7,21,5.22,14,212.3,4,4,989,34,
0.343,16,6.84,213.5,32,3.45,14,112.2,1.23,18,1004,38,
0.373,13,7.08,253.4,19,2.27,7,69.3,1.89,9,926,50,
0.367,21,7.43,284.1,31,3.85,15,140.2,1.22,10,1029,42,
0.467,22,7.59,270.1,41,4.42,21,189.2,2.3,6,1046,60,
0.417,12,6.72,197.1,27,5,17,211.7,3.11,12,897,55,
0.379,16,7.76,231,27,4.27,12,167.5,2.25,3,883,32,
0.43,18,8.93,239,33,5.14,17,230.1,1.88,7,829,37,
0.367,11,6.85,226,11,4.01,6,135.7,1.14,17,897,49,
0.403,9,6,206.1,16,2.84,8,107.6,1.38,11,753,37,
0.345,14,7.49,238.4,24,3.15,9,104.6,1.36,8,809,44,
0.418,20,7.81,223,41,5.81,24,236.2,5.22,4,853,51,
0.401,20,7.58,267.5,38,4.73,20,177.2,1.4,7,830,49,
0.438,2,7.12,162,16,6.16,19,262,1.25,3,856,38,
0.426,17,6.97,220.3,30,4.36,16,166.7,1.7,13,944,32,
0.323,14,6.11,171.6,20,4.04,11,129.6,2.1,10,984,47,
0.438,8,5.51,166.9,29,4.24,19,180.9,0.9,15,998,45,
0.475,18,7.84,229,37,4.87,26,198.3,2.9,9,926,41,
0.396,15,7.2,189.2,34,4.77,19,179.9,2.73,5,847,46,
0.373,24,9.73,323,35,4.88,18,169,2.5,13,1004,35,
0.345,8,6.3,183.9,16,2.78,6,95.5,1.2,5,937,33,
0.417,6,6.06,200,20,4.87,14,230,3.2,2,904,31,
0.519,10,7.58,208.5,17,6.47,11,273.5,2.5,0,965,47,
0.36,24,7.43,289.2,32,3.86,13,145.1,1.82,12,912,39,
0.381,16,6.65,226.8,34,4.77,15,180.6,2.9,7,893,46,
0.462,6,9.34,267.7,6,3.47,5,126,1.33,2,1031,55,
0.462,12,7.37,255.5,25,4.16,14,178.8,1.33,2,888,27,
0.383,8,6.79,239.4,25,3.93,20,157.3,2.29,5,895,37,
0.536,19,7.18,224.1,32,5.23,21,221.9,2.56,8,851,43,
0.408,11,7.61,208.7,26,6.3,16,207.1,1.86,5,1059,57,
0.392,22,7.43,255,27,3.57,9,125.3,3,9,851,48,
0.376,21,7.9,245.8,34,4.53,19,162.2,1.6,4,1044,41,
0.381,11,7.86,180.8,40,4.94,23,204.7,2.3,3,887,32,
0.376,20,7,254.6,39,4.08,16,163.5,2.64,10,921,38,
0.405,10,7.2,217,30,4.17,15,169.5,2,5,753,35,
0.356,13,6.8,239.6,24,3.97,12,138.1,2.22,6,893,46,
0.427,18,9.05,283,16,4.77,9,164.1,2.29,6,814,35,
0.379,17,7.39,248,34,4.08,20,147.8,2.73,8,793,38,
0.472,25,8.13,252.9,45,6.1,32,269.2,1.7,7,867,35,
0.311,11,9.2,245.3,20,4.75,13,173.5,2.33,5,784,26,
0.314,7,4.96,182.2,17,4.65,4,156.5,1.5,14,933,31,
0.294,10,6.9,224.5,24,3.7,12,110.5,2.18,7,938,44,
0.341,3,6.37,195.3,8,4.8,3,193.7,3,5,969,38,
0.341,9,7.03,261.3,15,3.35,6,96.7,3,6,997,38,
0.277,11,6.69,243,28,3.06,17,90.6,2.2,13,852,35,
0.263,15,6.62,205.2,21,4.05,12,160.5,2.4,6,791,19,
0.475,19,8.54,324.4,41,5.42,26,211.2,1.89,5,5592,0.848,
0.381,7,6.87,249.7,21,4.21,13,159.8,1.67,5,3927,0.892,
0.467,10,7.75,224.7,25,5.56,18,217.6,1.71,5,4286,0.872,
0.37,15,6.72,198.6,25,3.67,13,130.2,3.11,4,5632,0.775,
0.353,23,7.18,246,24,2.65,11,93.5,2.36,14,6246,0.915,
0.437,9,7.94,254.2,26,3.43,12,144.8,2,3,5546,0.793,
0.409,5,7.78,200.8,8,4.12,5,140.8,3.4,6,4717,0.784,
0.388,21,7.86,245.4,34,4.51,14,203.7,2.44,8,3789,0.824,
0.298,11,5.66,185.2,19,3.05,5,98.2,2.12,8,4705,0.855,
0.39,7,6.54,227.1,15,3.16,7,111,1,3,5643,0.782,
0.434,22,7.56,241.9,35,4.21,19,180.3,2.1,7,5601,0.75,
0.413,15,8.65,261.9,43,4.66,22,174.5,3.64,7,4084,0.821,
0.484,21,8.83,256.1,41,4.91,23,195.4,2.7,8,5571,0.766,
0.5,21,7.64,229.1,36,4.95,20,212.3,3.33,10,5217,0.786,
0.392,14,6.94,216.3,15,4.24,4,153.3,2.5,9,4745,0.945,
0.479,24,7.51,220.8,30,4.49,17,180.9,2.4,6,6219,0.87,
0.513,12,8.33,216.7,25,5.46,12,222,1.67,2,5095,0.725,
0.474,19,7.51,254.8,40,4.56,24,209.1,3.45,13,5439,0.814,
0.329,18,7.25,223.4,22,3.63,9,127.5,2.3,8,5074,0.811,
0.44,18,9.24,224.4,23,4.82,15,208.6,1.71,3,4672,0.842,
0.476,15,8.46,265.8,38,3.68,15,141.6,2.9,5,4795,0.881,
0.366,17,6.86,274.2,36,3.59,13,135.6,2.22,8,4976,0.805,
0.352,16,7.24,224.3,20,3.33,6,92.2,0.44,9,5433,0.739,
0.492,26,7.86,270.4,55,5.12,29,224.5,2.25,7,5625,0.895,
0.414,17,7.3,258.5,42,4.41,24,186.4,1.6,5,5215,0.864,
0.274,12,7.13,233,18,3.69,6,129.2,2.5,4,6166,0.825,
0.381,16,7.33,238.5,34,4.09,17,166.6,2,8,3809,0.714,
0.4,27,8.47,278.7,31,3.41,16,143.3,2.92,9,4538,0.965,
0.328,9,6.23,194.8,22,3.56,7,146,2,6,4759,0.872,
0.298,15,5.47,173.2,21,3.98,5,137.9,0.44,8,4257,0.844,
0.432,26,8.55,299.2,39,4.34,17,192.6,2.2,9,4568,0.852,
0.458,13,7.3,274.1,28,3.6,14,135.7,1.71,9,5221,0.854,
0.57,20,9.92,215.3,35,5.41,29,249.3,2.7,4,4155,0.859,
